long,lat,cpue
-24.5,18.5,2194.39
-23.5,18.5,2262.63
-22.5,18.5,2155.80
-21.5,18.5,2507.12
-20.5,18.5,2375.90
-19.5,18.5,2594.62
-18.5,18.5,1942.15
-17.5,18.5,1101.84
-16.5,18.5,568.88
-15.5,18.5,NA
-14.5,18.5,NA
-13.5,18.5,NA
-12.5,18.5,NA
-11.5,18.5,NA
-10.5,18.5,NA
-9.5,18.5,NA
-8.5,18.5,NA
-7.5,18.5,NA
-6.5,18.5,NA
-5.5,18.5,NA
-4.5,18.5,NA
-3.5,18.5,NA
-2.5,18.5,NA
-1.5,18.5,NA
-0.5,18.5,NA
-46.5,17.5,NA
-45.5,17.5,NA
-44.5,17.5,NA
-43.5,17.5,NA
-42.5,17.5,NA
-41.5,17.5,NA
-40.5,17.5,NA
-39.5,17.5,NA
-38.5,17.5,NA
-37.5,17.5,NA
-36.5,17.5,3075.00
-35.5,17.5,NA
-34.5,17.5,NA
-33.5,17.5,NA
-32.5,17.5,4407.00
-31.5,17.5,2481.67
-30.5,17.5,3202.41
-29.5,17.5,5973.53
-28.5,17.5,5551.66
-27.5,17.5,2551.85
-26.5,17.5,2906.08
-25.5,17.5,3018.88
-24.5,17.5,3131.50
-23.5,17.5,2784.81
-22.5,17.5,2331.23
-21.5,17.5,2968.91
-20.5,17.5,2057.14
-19.5,17.5,2403.28
-18.5,17.5,1916.82
-17.5,17.5,1744.66
-16.5,17.5,637.44
-15.5,17.5,NA
-14.5,17.5,NA
-13.5,17.5,NA
-12.5,17.5,NA
-11.5,17.5,NA
-10.5,17.5,NA
-9.5,17.5,NA
-8.5,17.5,NA
-7.5,17.5,NA
-6.5,17.5,NA
-5.5,17.5,NA
-4.5,17.5,NA
-3.5,17.5,NA
-2.5,17.5,NA
-1.5,17.5,NA
-0.5,17.5,NA
-46.5,16.5,NA
-45.5,16.5,NA
-44.5,16.5,NA
-43.5,16.5,NA
-42.5,16.5,NA
-41.5,16.5,NA
-40.5,16.5,NA
-39.5,16.5,NA
-38.5,16.5,NA
-37.5,16.5,NA
-36.5,16.5,NA
-35.5,16.5,2275.00
-34.5,16.5,NA
-33.5,16.5,3567.00
-32.5,16.5,1428.36
-31.5,16.5,4091.78
-30.5,16.5,3833.29
-29.5,16.5,4883.74
-28.5,16.5,4178.74
-27.5,16.5,1824.28
-26.5,16.5,2745.40
-25.5,16.5,3106.97
-24.5,16.5,905.33
-23.5,16.5,NA
-22.5,16.5,2873.12
-21.5,16.5,3048.78
-20.5,16.5,2555.96
-19.5,16.5,1420.76
-18.5,16.5,2657.20
-17.5,16.5,1987.12
-16.5,16.5,NA
-15.5,16.5,NA
-14.5,16.5,NA
-13.5,16.5,NA
-12.5,16.5,NA
-11.5,16.5,NA
-10.5,16.5,NA
-9.5,16.5,NA
-8.5,16.5,NA
-7.5,16.5,NA
-6.5,16.5,NA
-5.5,16.5,NA
-4.5,16.5,NA
-3.5,16.5,NA
-2.5,16.5,NA
-1.5,16.5,NA
-0.5,16.5,NA
-46.5,15.5,NA
-45.5,15.5,300.00
-44.5,15.5,NA
-43.5,15.5,735.00
-42.5,15.5,NA
-41.5,15.5,NA
-40.5,15.5,NA
-39.5,15.5,NA
-38.5,15.5,NA
-37.5,15.5,NA
-36.5,15.5,NA
-35.5,15.5,1540.70
-34.5,15.5,2195.71
-33.5,15.5,2061.33
-32.5,15.5,2957.04
-31.5,15.5,3533.56
-30.5,15.5,3807.65
-29.5,15.5,4615.19
-28.5,15.5,6195.48
-27.5,15.5,2176.22
-26.5,15.5,3490.93
-25.5,15.5,2885.11
-24.5,15.5,0.00
-23.5,15.5,NA
-22.5,15.5,4050.69
-21.5,15.5,3967.36
-20.5,15.5,3129.06
-19.5,15.5,250.00
-18.5,15.5,NA
-17.5,15.5,NA
-16.5,15.5,NA
-15.5,15.5,NA
-14.5,15.5,NA
-13.5,15.5,NA
-12.5,15.5,NA
-11.5,15.5,NA
-10.5,15.5,NA
-9.5,15.5,NA
-8.5,15.5,NA
-7.5,15.5,NA
-6.5,15.5,NA
-5.5,15.5,NA
-4.5,15.5,NA
-3.5,15.5,NA
-2.5,15.5,NA
-1.5,15.5,NA
-0.5,15.5,NA
-46.5,14.5,250.00
-45.5,14.5,233.33
-44.5,14.5,631.25
-43.5,14.5,641.80
-42.5,14.5,842.00
-41.5,14.5,NA
-40.5,14.5,NA
-39.5,14.5,NA
-38.5,14.5,NA
-37.5,14.5,NA
-36.5,14.5,2045.33
-35.5,14.5,2328.80
-34.5,14.5,3516.25
-33.5,14.5,3898.88
-32.5,14.5,4660.03
-31.5,14.5,4318.68
-30.5,14.5,3949.51
-29.5,14.5,4258.29
-28.5,14.5,4364.19
-27.5,14.5,2908.78
-26.5,14.5,2643.73
-25.5,14.5,3073.89
-24.5,14.5,2679.95
-23.5,14.5,3322.97
-22.5,14.5,4444.70
-21.5,14.5,3673.30
-20.5,14.5,1780.41
-19.5,14.5,NA
-18.5,14.5,NA
-17.5,14.5,NA
-16.5,14.5,NA
-15.5,14.5,NA
-14.5,14.5,NA
-13.5,14.5,NA
-12.5,14.5,NA
-11.5,14.5,NA
-10.5,14.5,NA
-9.5,14.5,NA
-8.5,14.5,NA
-7.5,14.5,NA
-6.5,14.5,NA
-5.5,14.5,NA
-4.5,14.5,NA
-3.5,14.5,NA
-2.5,14.5,NA
