long,lat,vms-intens
-46.5,48.5,NA
-45.5,48.5,NA
-44.5,48.5,NA
-43.5,48.5,NA
-42.5,48.5,NA
-41.5,48.5,NA
-40.5,48.5,NA
-39.5,48.5,NA
-38.5,48.5,NA
-37.5,48.5,NA
-36.5,48.5,NA
-35.5,48.5,NA
-34.5,48.5,NA
-33.5,48.5,NA
-32.5,48.5,NA
-31.5,48.5,NA
-30.5,48.5,NA
-29.5,48.5,NA
-28.5,48.5,NA
-27.5,48.5,NA
-26.5,48.5,NA
-25.5,48.5,NA
-24.5,48.5,NA
-23.5,48.5,NA
-22.5,48.5,NA
-21.5,48.5,NA
-20.5,48.5,NA
-19.5,48.5,NA
-18.5,48.5,NA
-17.5,48.5,NA
-16.5,48.5,NA
-15.5,48.5,0.148148148
-14.5,48.5,0.076086957
-13.5,48.5,NA
-12.5,48.5,0.272
-11.5,48.5,0.44017094
-10.5,48.5,0.623978202
-9.5,48.5,0.621301775
-8.5,48.5,0.473684211
-7.5,48.5,NA
-6.5,48.5,NA
-5.5,48.5,NA
-4.5,48.5,NA
-3.5,48.5,NA
-2.5,48.5,NA
-1.5,48.5,NA
-0.5,48.5,NA
-89.5,47.5,NA
-88.5,47.5,NA
-87.5,47.5,NA
-86.5,47.5,NA
-85.5,47.5,NA
-84.5,47.5,NA
-83.5,47.5,NA
-82.5,47.5,NA
-81.5,47.5,NA
-80.5,47.5,NA
-79.5,47.5,NA
-78.5,47.5,NA
-77.5,47.5,NA
-76.5,47.5,NA
-75.5,47.5,NA
-74.5,47.5,NA
-73.5,47.5,NA
-72.5,47.5,NA
-71.5,47.5,NA
-70.5,47.5,NA
-69.5,47.5,NA
-68.5,47.5,NA
-67.5,47.5,NA
-66.5,47.5,NA
-65.5,47.5,NA
-64.5,47.5,NA
-63.5,47.5,NA
-62.5,47.5,NA
-61.5,47.5,NA
-60.5,47.5,NA
-59.5,47.5,NA
-58.5,47.5,NA
-57.5,47.5,NA
-56.5,47.5,NA
-55.5,47.5,NA
-54.5,47.5,NA
-53.5,47.5,NA
-52.5,47.5,NA
-51.5,47.5,NA
-50.5,47.5,NA
-49.5,47.5,NA
-48.5,47.5,NA
-47.5,47.5,NA
-46.5,47.5,NA
-45.5,47.5,NA
-44.5,47.5,NA
-43.5,47.5,NA
-42.5,47.5,NA
-41.5,47.5,0.032258065
-40.5,47.5,0.275862069
-39.5,47.5,NA
-38.5,47.5,NA
-37.5,47.5,NA
-36.5,47.5,NA
-35.5,47.5,NA
-34.5,47.5,NA
-33.5,47.5,NA
-32.5,47.5,NA
-31.5,47.5,NA
-30.5,47.5,NA
-29.5,47.5,NA
-28.5,47.5,NA
-27.5,47.5,NA
-26.5,47.5,NA
-25.5,47.5,NA
-24.5,47.5,NA
-23.5,47.5,NA
-22.5,47.5,NA
-21.5,47.5,NA
-20.5,47.5,NA
-19.5,47.5,NA
-18.5,47.5,NA
-17.5,47.5,NA
-16.5,47.5,0.103448276
-15.5,47.5,0.036363636
-14.5,47.5,0.059259259
-13.5,47.5,0.075268817
