id,date,area,tag-type,max-depth,tad250,tad500
S10,2009-11-22,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-23,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-24,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-25,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-26,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-27,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-28,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-29,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-30,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-01,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-02,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-03,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-04,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-05,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-06,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-07,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-08,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-09,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-10,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-11,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-12,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-13,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-14,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-15,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-16,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-17,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-18,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-19,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-20,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-21,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-22,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-23,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-24,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-26,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-27,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-28,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-29,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-30,Normoxia,ARGOS,NA,NA,NA
S10,2009-12-31,Normoxia,ARGOS,NA,NA,NA
S10,2010-01-01,Normoxia,ARGOS,NA,NA,NA
S10,2010-01-02,Normoxia,ARGOS,NA,NA,NA
S10,2010-01-03,Normoxia,ARGOS,NA,NA,NA
S10,2010-01-04,Normoxia,ARGOS,NA,NA,NA
S10,2010-01-05,Normoxia,ARGOS,NA,NA,NA
S10,2010-01-06,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-02,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-03,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-04,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-05,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-06,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-07,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-08,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-09,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-10,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-11,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-12,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-13,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-14,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-15,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-16,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-17,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-18,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-19,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-20,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-21,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-22,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-23,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-24,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-25,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-26,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-27,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-28,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-29,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-30,Normoxia,ARGOS,NA,NA,NA
S11,2009-12-31,Normoxia,ARGOS,NA,NA,NA
S11,2010-01-01,Normoxia,ARGOS,NA,NA,NA
S11,2010-01-02,Normoxia,ARGOS,NA,NA,NA
S11,2010-01-03,Normoxia,ARGOS,NA,NA,NA
S11,2010-01-04,Normoxia,ARGOS,NA,NA,NA
S11,2010-01-05,Normoxia,ARGOS,NA,NA,NA
S11,2010-01-06,Normoxia,ARGOS,NA,NA,NA
S11,2010-01-07,Normoxia,ARGOS,NA,NA,NA
S11,2010-01-08,Normoxia,ARGOS,NA,NA,NA
S11,2010-01-09,Normoxia,ARGOS,NA,NA,NA
S11,2010-01-10,Normoxia,ARGOS,NA,NA,NA
S11,2010-01-11,Normoxia,ARGOS,NA,NA,NA
S11,2010-01-12,Normoxia,ARGOS,NA,NA,NA
S11,2010-01-13,Normoxia,ARGOS,NA,NA,NA
S11,2010-01-14,Normoxia,ARGOS,NA,NA,NA
S12,2009-12-02,Normoxia,ARGOS,NA,NA,NA
S12,2009-12-03,Normoxia,ARGOS,NA,NA,NA
S12,2009-12-04,Normoxia,ARGOS,NA,NA,NA
S12,2009-12-05,Normoxia,ARGOS,NA,NA,NA
