long,lat,mdd
-11.5,21.5,NA
-10.5,21.5,NA
-9.5,21.5,NA
-8.5,21.5,NA
-7.5,21.5,NA
-6.5,21.5,NA
-5.5,21.5,NA
-4.5,21.5,NA
-3.5,21.5,NA
-2.5,21.5,NA
-1.5,21.5,NA
-0.5,21.5,NA
-39.5,20.5,392.75
-38.5,20.5,396.14
-37.5,20.5,398.97
-36.5,20.5,403.18
-35.5,20.5,406.48
-34.5,20.5,408.33
-33.5,20.5,408.72
-32.5,20.5,410.72
-31.5,20.5,408.51
-30.5,20.5,405.30
-29.5,20.5,398.22
-28.5,20.5,383.44
-27.5,20.5,365.07
-26.5,20.5,345.91
-25.5,20.5,342.87
-24.5,20.5,344.71
-23.5,20.5,346.76
-22.5,20.5,346.68
-21.5,20.5,356.09
-20.5,20.5,365.26
-19.5,20.5,348.79
-18.5,20.5,293.54
-17.5,20.5,NA
-16.5,20.5,NA
-15.5,20.5,NA
-14.5,20.5,NA
-13.5,20.5,NA
-12.5,20.5,NA
-11.5,20.5,NA
-10.5,20.5,NA
-9.5,20.5,NA
-8.5,20.5,NA
-7.5,20.5,NA
-6.5,20.5,NA
-5.5,20.5,NA
-4.5,20.5,NA
-3.5,20.5,NA
-2.5,20.5,NA
-1.5,20.5,NA
-0.5,20.5,NA
-39.5,19.5,387.71
-38.5,19.5,390.03
-37.5,19.5,392.98
-36.5,19.5,396.51
-35.5,19.5,398.31
-34.5,19.5,394.87
-33.5,19.5,388.78
-32.5,19.5,388.93
-31.5,19.5,383.99
-30.5,19.5,370.52
-29.5,19.5,347.20
-28.5,19.5,340.78
-27.5,19.5,346.18
-26.5,19.5,351.62
-25.5,19.5,352.42
-24.5,19.5,353.13
-23.5,19.5,348.26
-22.5,19.5,351.74
-21.5,19.5,351.76
-20.5,19.5,326.93
-19.5,19.5,284.35
-18.5,19.5,250.99
-17.5,19.5,242.23
-16.5,19.5,NA
-15.5,19.5,NA
-14.5,19.5,NA
-13.5,19.5,NA
-12.5,19.5,NA
-11.5,19.5,NA
-10.5,19.5,NA
-9.5,19.5,NA
-8.5,19.5,NA
-7.5,19.5,NA
-6.5,19.5,NA
-5.5,19.5,NA
-4.5,19.5,NA
-3.5,19.5,NA
-2.5,19.5,NA
-1.5,19.5,NA
-0.5,19.5,NA
-39.5,18.5,380.62
-38.5,18.5,381.20
-37.5,18.5,380.43
-36.5,18.5,378.03
-35.5,18.5,368.59
-34.5,18.5,355.26
-33.5,18.5,340.36
-32.5,18.5,337.56
-31.5,18.5,336.59
-30.5,18.5,339.23
-29.5,18.5,346.04
-28.5,18.5,353.33
-27.5,18.5,358.59
-26.5,18.5,357.52
-25.5,18.5,353.97
-24.5,18.5,349.05
-23.5,18.5,344.54
-22.5,18.5,333.74
-21.5,18.5,315.35
-20.5,18.5,285.49
-19.5,18.5,259.04
-18.5,18.5,248.83
-17.5,18.5,252.40
-16.5,18.5,NA
-15.5,18.5,NA
-14.5,18.5,NA
-13.5,18.5,NA
-12.5,18.5,NA
-11.5,18.5,NA
-10.5,18.5,NA
-9.5,18.5,NA
-8.5,18.5,NA
-7.5,18.5,NA
-6.5,18.5,NA
-5.5,18.5,NA
-4.5,18.5,NA
-3.5,18.5,NA
-2.5,18.5,NA
-1.5,18.5,NA
-0.5,18.5,NA
-39.5,17.5,354.55
-38.5,17.5,345.03
-37.5,17.5,344.98
-36.5,17.5,339.56
-35.5,17.5,328.03
-34.5,17.5,326.12
-33.5,17.5,335.54
-32.5,17.5,344.09
-31.5,17.5,347.27
-30.5,17.5,353.43
-29.5,17.5,351.43
-28.5,17.5,350.33
-27.5,17.5,346.68
-26.5,17.5,344.27
-25.5,17.5,343.19
-24.5,17.5,337.75
-23.5,17.5,318.46
-22.5,17.5,292.26
-21.5,17.5,275.59
-20.5,17.5,261.51
-19.5,17.5,255.24
-18.5,17.5,255.16
-17.5,17.5,258.89
-16.5,17.5,NA
-15.5,17.5,NA
-14.5,17.5,NA
-13.5,17.5,NA
-12.5,17.5,NA
-11.5,17.5,NA
-10.5,17.5,NA
-9.5,17.5,NA
-8.5,17.5,NA
-7.5,17.5,NA
-6.5,17.5,NA
-5.5,17.5,NA
-4.5,17.5,NA
-3.5,17.5,NA
-2.5,17.5,NA
-1.5,17.5,NA
-0.5,17.5,NA
-39.5,16.5,309.22
-38.5,16.5,311.72
-37.5,16.5,316.27
-36.5,16.5,326.42
-35.5,16.5,332.20
-34.5,16.5,342.46
-33.5,16.5,346.08
-32.5,16.5,343.92
-31.5,16.5,339.49
-30.5,16.5,338.00
-29.5,16.5,336.34
-28.5,16.5,331.95
-27.5,16.5,317.98
-26.5,16.5,309.14
-25.5,16.5,307.11
-24.5,16.5,300.87
-23.5,16.5,281.96
-22.5,16.5,NA
-21.5,16.5,263.98
-20.5,16.5,264.12
-19.5,16.5,263.20
-18.5,16.5,262.76
-17.5,16.5,266.25
-16.5,16.5,NA
-15.5,16.5,NA
-14.5,16.5,NA
-13.5,16.5,NA
-12.5,16.5,NA
-11.5,16.5,NA
-10.5,16.5,NA
-9.5,16.5,NA
-8.5,16.5,NA
-7.5,16.5,NA
-6.5,16.5,NA
-5.5,16.5,NA
-4.5,16.5,NA
-3.5,16.5,NA
-2.5,16.5,NA
-1.5,16.5,NA
-0.5,16.5,NA
-39.5,15.5,318.66
-38.5,15.5,327.13
-37.5,15.5,332.08
-36.5,15.5,333.89
-35.5,15.5,332.69
-34.5,15.5,331.09
-33.5,15.5,328.20
-32.5,15.5,326.29
-31.5,15.5,321.37
-30.5,15.5,320.36
-29.5,15.5,311.06
-28.5,15.5,295.07
-27.5,15.5,275.31
-26.5,15.5,265.00
-25.5,15.5,262.82
-24.5,15.5,259.71
-23.5,15.5,NA
-22.5,15.5,263.93
-21.5,15.5,267.51
-20.5,15.5,269.67
-19.5,15.5,268.67
-18.5,15.5,266.86
-17.5,15.5,272.84
-16.5,15.5,NA
-15.5,15.5,NA
-14.5,15.5,NA
-13.5,15.5,NA
-12.5,15.5,NA
-11.5,15.5,NA
-10.5,15.5,NA
